country,fullName,clubName,position,counterGames,counterGoals
Аргентина,Григорьев Олег Аркадьевич,Динамо,defender,62,44
Англия,Жуков Егор Евгеньевич,Реал Мадрид,defender,142,10
Испания,Филиппов Олег Петрович,Реал Мадрид,defender,48,4
Нидерланды,Кудрявцев Вадим Александрович,Барселона,halfdefender,16,10
Франция,Васильев Андрей Константинович,Реал Мадрид,defender,111,89
Италия,Титов Роман Никитич,Арсенал,halfdefender,32,17
Нидерланды,Гордеев Михаил Равильевич,Спартак,defender,159,89
Англия,Гордеев Иван Маркович,Бавария,defender,132,68
Нидерланды,Новиков Артём Евгеньевич,ПСЖ,defender,94,66
Россия,Калинин Вячеслав Германович,Ювентус,halfdefender,121,83
Франция,Егоров Константин Германович,ЦСКА,halfdefender,25,4
Франция,Мельников Кирилл Сергеевич,Реал Мадрид,goalkeeper,132,-12
Франция,Яковлев Пётр Ильич,Манчестер Сити,attacker,135,53
Бразилия,Смирнов Максим Антонович,Бавария,goalkeeper,31,-23
Аргентина,Николаев Виктор Никитич,Манчестер Сити,halfdefender,2,1
Англия,Волков Михаил Станиславович,Бавария,goalkeeper,40,-27
Испания,Петров Лев Степанович,Зенит,defender,12,2
Португалия,Гусев Лев Тарасович,Зенит,defender,13,3
Нидерланды,Андреев Вячеслав Валентинович,Зенит,defender,103,55
Франция,Касаткин Константин Денисович,Зенит,halfdefender,72,42
Россия,Михайлов Михаил Денисович,ЦСКА,halfdefender,122,36
Бразилия,Соколов Илья Николаевич,Арсенал,attacker,131,69
Испания,Филиппов Тихон Геннадьевич,Зенит,goalkeeper,160,-124
Италия,Калинин Тимофей Олегович,Ливерпуль,halfdefender,63,33
Франция,Жуков Станислав Маркович,Локомотив,defender,63,6
Германия,Лазарев Артём Фёдорович,Локомотив,goalkeeper,70,-48
Италия,Лебедев Денис Игоревич,ПСЖ,attacker,40,27
Англия,Фёдоров Никита Рустамович,Зенит,halfdefender,126,15
Португалия,Кудрявцев Денис Григорьевич,ПСЖ,defender,59,12
Аргентина,Соколов Роман Анатольевич,Манчестер Сити,halfdefender,137,71
Португалия,Новиков Илья Тимофеевич,Зенит,attacker,22,7
Аргентина,Фёдоров Антон Радмирович,Спартак,defender,127,27
Бразилия,Захаров Юрий Равильевич,Ювентус,goalkeeper,21,-11
Россия,Соловьёв Михаил Михайлович,Зенит,defender,152,40
Аргентина,Филиппов Станислав Михайлович,Бавария,defender,160,88
Испания,Новиков Вячеслав Александрович,Ливерпуль,halfdefender,62,42
Аргентина,Тарасов Пётр Иванович,Динамо,attacker,76,67
Англия,Михайлов Даниил Михайлович,Ювентус,defender,39,37
Франция,Макаров Олег Данилович,Барселона,defender,86,86
Португалия,Кузнецов Вячеслав Германович,Динамо,attacker,39,6
Англия,Зайцев Руслан Никитич,Реал Мадрид,halfdefender,162,55
Россия,Лазарев Лев Радмирович,Барселона,defender,161,73
Аргентина,Фёдоров Фёдор Михайлович,Манчестер Сити,defender,85,31
Португалия,Васильев Георгий Игоревич,Зенит,attacker,94,31
Бразилия,Орлов Степан Григорьевич,Реал Мадрид,halfdefender,173,76
Аргентина,Соловьёв Ярослав Рустамович,Манчестер Сити,halfdefender,45,36
Аргентина,Касаткин Анатолий Эльдарович,Ливерпуль,halfdefender,71,47
Бразилия,Семёнов Илья Анатольевич,Манчестер Сити,goalkeeper,87,-86
Англия,Смирнов Виктор Сергеевич,Реал Мадрид,halfdefender,170,58
Англия,Калинин Сергей Викторович,Бавария,defender,104,63
Россия,Орлов Дмитрий Фёдорович,Динамо,halfdefender,22,21
Португалия,Кузнецов Артём Константинович,Ливерпуль,defender,14,5
Испания,Тарасов Иван Маркович,Ювентус,defender,179,14
Бразилия,Лебедев Павел Алексеевич,ЦСКА,halfdefender,133,17
Россия,Сергеев Степан Никитич,Динамо,attacker,109,54
Франция,Козлов Сергей Тимофеевич,Зенит,attacker,57,52
Португалия,Яковлев Юрий Маркович,Реал Мадрид,halfdefender,58,37
Бразилия,Павлов Ярослав Олегович,Локомотив,halfdefender,178,86
Нидерланды,Фролов Матвей Матвеевич,Реал Мадрид,attacker,169,30
Аргентина,Лебедев Илья Рустамович,ПСЖ,halfdefender,152,71
Германия,Павлов Илья Тимофеевич,ПСЖ,defender,139,12
Бразилия,Соколов Владимир Русланович,ПСЖ,defender,63,36
Испания,Гаврилов Даниил Вячеславович,Реал Мадрид,halfdefender,41,0
Россия,Шестаков Степан Денисович,Арсенал,halfdefender,21,17
Англия,Куликов Владимир Эдуардович,Ливерпуль,defender,43,0
Нидерланды,Фомин Юрий Тимофеевич,Реал Мадрид,halfdefender,139,7
Аргентина,Петров Валерий Александрович,Барселона,halfdefender,140,83
Италия,Захаров Михаил Константинович,Ювентус,defender,99,22
Португалия,Орлов Вячеслав Михайлович,Ливерпуль,goalkeeper,72,-55
Испания,Касаткин Андрей Валерьевич,Бавария,attacker,180,14
Аргентина,Калинин Григорий Рустамович,Локомотив,attacker,115,6
Португалия,Барсуков Арсений Германович,ЦСКА,halfdefender,36,2
Португалия,Воробьёв Ярослав Константинович,Бавария,defender,158,58
Португалия,Смирнов Александр Вячеславович,ЦСКА,halfdefender,39,17
Испания,Волков Денис Никитич,Динамо,goalkeeper,178,-124
