country,fullName,clubName,position,counterGames,counterGoals
Испания,Медведев Валерий Валентинович,Барселона,goalkeeper,150,-58
Нидерланды,Кузнецов Владимир Семёнович,ПСЖ,attacker,8,0
Россия,Орлов Кирилл Игоревич,Зенит,defender,75,67
Аргентина,Яковлев Вячеслав Романович,Реал Мадрид,defender,119,9
Испания,Рябов Глеб Валентинович,Барселона,defender,129,56
Испания,Яковлев Ярослав Васильевич,Ювентус,defender,17,10
Бразилия,Гусев Фёдор Романович,Динамо,defender,52,7
Португалия,Барсуков Матвей Егорович,Спартак,halfdefender,29,11
Англия,Калинин Никита Фёдорович,Ливерпуль,halfdefender,163,74
Англия,Мельников Олег Васильевич,Локомотив,goalkeeper,25,-23
Нидерланды,Захаров Пётр Станиславович,Зенит,halfdefender,47,19
Россия,Рябов Фёдор Егорович,ПСЖ,halfdefender,8,3
Испания,Михайлов Константин Никитич,Спартак,defender,166,22
Италия,Новиков Константин Станиславович,Арсенал,halfdefender,96,90
Италия,Смирнов Андрей Борисович,Барселона,defender,10,1
Бразилия,Шестаков Владимир Андреевич,Реал Мадрид,defender,157,65
Бразилия,Козлов Станислав Анатольевич,Локомотив,defender,126,39
Франция,Захаров Глеб Юрьевич,Зенит,attacker,84,84
Россия,Жуков Александр Тимофеевич,Ювентус,attacker,134,62
Португалия,Мельников Дмитрий Валентинович,Динамо,halfdefender,140,1
Нидерланды,Шестаков Павел Валерьевич,Ювентус,halfdefender,4,2
Россия,Попов Григорий Владимирович,Зенит,halfdefender,161,50
Англия,Зайцев Егор Витальевич,Спартак,halfdefender,167,1
Россия,Никитин Никита Григорьевич,Реал Мадрид,halfdefender,127,32
Испания,Орлов Виктор Павлович,ЦСКА,defender,76,37
Нидерланды,Титов Руслан Никитич,Манчестер Сити,halfdefender,21,15
Италия,Кудрявцев Вадим Михайлович,Ювентус,defender,106,61
Бразилия,Жуков Фёдор Кириллович,ЦСКА,attacker,145,11
Германия,Сидоров Владимир Германович,ЦСКА,attacker,16,13
Нидерланды,Васильев Валерий Анатольевич,Манчестер Сити,goalkeeper,158,-83
Германия,Романов Павел Романович,Ливерпуль,halfdefender,71,47
Бразилия,Орлов Лев Ильич,Ливерпуль,attacker,37,14
Португалия,Антонов Артём Вячеславович,Реал Мадрид,defender,43,22
Аргентина,Михайлов Павел Аркадьевич,Манчестер Сити,goalkeeper,86,-11
Англия,Фёдоров Матвей Эльдарович,Бавария,defender,39,14
Франция,Иванов Фёдор Дмитриевич,Ливерпуль,attacker,92,15
Аргентина,Воробьёв Павел Игоревич,Динамо,defender,148,49
Нидерланды,Медведев Антон Антонович,Реал Мадрид,defender,26,10
Франция,Алексеев Даниил Ярославович,Барселона,defender,20,5
Италия,Смирнов Иван Дмитриевич,Реал Мадрид,defender,72,8
Италия,Рябов Вячеслав Викторович,Барселона,goalkeeper,178,-98
Италия,Марков Георгий Матвеевич,ПСЖ,defender,179,50
Бразилия,Касаткин Даниил Иванович,Динамо,halfdefender,73,32
Италия,Мельников Александр Васильевич,Зенит,goalkeeper,38,-20
Италия,Соловьёв Андрей Петрович,Динамо,goalkeeper,8,-5
Россия,Михайлов Вадим Сергеевич,Реал Мадрид,halfdefender,92,74
Португалия,Макаров Вячеслав Матвеевич,Барселона,attacker,147,71
Германия,Васильев Олег Русланович,Манчестер Сити,defender,171,80
Португалия,Гаврилов Юрий Васильевич,ПСЖ,halfdefender,82,52
Германия,Кудрявцев Вячеслав Николаевич,Реал Мадрид,attacker,89,45
Аргентина,Куликов Георгий Степанович,Ливерпуль,attacker,106,24
Германия,Савельев Антон Игоревич,Локомотив,halfdefender,109,62
Англия,Григорьев Кирилл Павлович,Динамо,goalkeeper,78,-72
Аргентина,Беляев Арсений Рустамович,Реал Мадрид,halfdefender,107,13
Аргентина,Данилов Вадим Максимович,Спартак,halfdefender,35,14
Нидерланды,Антонов Валерий Маркович,ПСЖ,defender,14,3
Германия,Мельников Ярослав Викторович,Локомотив,defender,92,27
Италия,Воробьёв Денис Тарасович,ЦСКА,halfdefender,28,17
Португалия,Павлов Андрей Тарасович,Барселона,halfdefender,146,55
Португалия,Козлов Георгий Русланович,Реал Мадрид,attacker,24,7
Франция,Романов Андрей Рустамович,Ливерпуль,defender,39,31
Аргентина,Данилов Арсений Евгеньевич,Зенит,halfdefender,81,3
Россия,Блинов Матвей Рустамович,Реал Мадрид,attacker,15,4
Аргентина,Зайцев Лев Антонович,Бавария,halfdefender,41,30
Италия,Захаров Илья Кириллович,Бавария,defender,6,6
Испания,Гордеев Валерий Фёдорович,Ливерпуль,defender,70,15
Португалия,Егоров Арсений Андреевич,Арсенал,attacker,75,69
Германия,Марков Станислав Витальевич,Бавария,halfdefender,57,31
Бразилия,Макаров Георгий Алексеевич,Арсенал,attacker,134,52
Испания,Калинин Глеб Борисович,ПСЖ,defender,60,51
Испания,Титов Даниил Сергеевич,Манчестер Сити,halfdefender,41,2
Бразилия,Медведев Георгий Ильич,ПСЖ,goalkeeper,155,-113
Англия,Савельев Владимир Владимирович,Манчестер Сити,defender,177,10
Бразилия,Шестаков Максим Вячеславович,Локомотив,halfdefender,22,15
Россия,Григорьев Андрей Евгеньевич,Спартак,goalkeeper,101,-78
Россия,Петров Иван Русланович,Арсенал,halfdefender,92,27
Бразилия,Фомин Даниил Григорьевич,ЦСКА,attacker,0,0
Германия,Воробьёв Сергей Витальевич,Барселона,halfdefender,44,24
Португалия,Антонов Антон Петрович,Манчестер Сити,defender,44,31
Бразилия,Шестаков Сергей Сергеевич,Барселона,attacker,47,25
Франция,Кудрявцев Никита Вадимович,Ливерпуль,attacker,156,53
Испания,Попов Глеб Станиславович,Барселона,defender,34,33
Бразилия,Волков Артём Витальевич,Реал Мадрид,halfdefender,13,13
Испания,Васильев Роман Викторович,Манчестер Сити,attacker,83,45
Италия,Григорьев Георгий Данилович,Зенит,halfdefender,88,4
Португалия,Смирнов Роман Радмирович,Манчестер Сити,attacker,144,33
Германия,Петров Анатолий Рустамович,Реал Мадрид,attacker,112,41
Бразилия,Фёдоров Владимир Леонидович,Реал Мадрид,halfdefender,127,54
Франция,Тарасов Иван Семёнович,Бавария,attacker,120,82
Нидерланды,Жуков Даниил Матвеевич,Арсенал,defender,122,15
Аргентина,Данилов Константин Ярославович,Арсенал,defender,14,9
Испания,Антонов Константин Евгеньевич,Ювентус,defender,129,33
Германия,Макаров Тимофей Радмирович,Ювентус,attacker,140,79
Италия,Фролов Павел Николаевич,ЦСКА,halfdefender,68,21
Бразилия,Козлов Даниил Игоревич,Локомотив,defender,169,23
Англия,Лебедев Георгий Рустамович,ЦСКА,defender,2,0
Франция,Смирнов Виктор Никитич,Манчестер Сити,attacker,96,35
Португалия,Волков Владимир Юрьевич,Локомотив,halfdefender,104,11
Испания,Куликов Иван Степанович,Спартак,defender,95,59
Франция,Иванов Константин Валентинович,Бавария,attacker,51,23
Португалия,Сидоров Владимир Валентинович,Барселона,halfdefender,62,39
Испания,Морозов Роман Иванович,Бавария,attacker,113,82
Англия,Кузнецов Ярослав Алексеевич,ЦСКА,defender,140,13
Германия,Калинин Олег Денисович,Локомотив,attacker,96,58
Италия,Новиков Кирилл Арсеньевич,Бавария,halfdefender,38,2
Нидерланды,Егоров Иван Рустамович,Манчестер Сити,halfdefender,96,29
Россия,Григорьев Антон Сергеевич,Реал Мадрид,attacker,152,88
Россия,Смирнов Тихон Денисович,Спартак,defender,23,6
Испания,Сидоров Сергей Никитич,Бавария,goalkeeper,159,-81
Россия,Воробьёв Юрий Русланович,Арсенал,halfdefender,158,39
Бразилия,Григорьев Егор Геннадьевич,Барселона,halfdefender,168,83
