country,fullName,clubName,position,counterGames,counterGoals
Россия,Макаров Илья Леонидович,Динамо,halfdefender,36,29
Нидерланды,Беляев Антон Романович,Бавария,halfdefender,131,55
Англия,Смирнов Илья Эдуардович,Ливерпуль,attacker,100,22
Испания,Калинин Денис Вадимович,Барселона,defender,41,32
Бразилия,Никитин Дмитрий Андреевич,Ювентус,attacker,69,23
Нидерланды,Козлов Глеб Антонович,Зенит,defender,15,5
Англия,Васильев Юрий Леонидович,Ювентус,goalkeeper,149,-15
Португалия,Фёдоров Иван Равильевич,Реал Мадрид,halfdefender,179,56
Испания,Макаров Матвей Степанович,Ливерпуль,defender,151,34
Нидерланды,Соколов Лев Маркович,Спартак,attacker,141,84
Португалия,Савельев Кирилл Евгеньевич,Арсенал,defender,121,53
Германия,Беляев Лев Арсеньевич,Манчестер Сити,goalkeeper,170,-39
Англия,Иванов Илья Русланович,Барселона,halfdefender,9,2
Испания,Фомин Вячеслав Маркович,ЦСКА,halfdefender,86,15
Италия,Попов Даниил Аркадьевич,Ливерпуль,halfdefender,87,49
Франция,Захаров Сергей Петрович,Манчестер Сити,defender,175,73
Нидерланды,Андреев Александр Васильевич,Барселона,attacker,83,50
Англия,Фролов Александр Станиславович,ЦСКА,attacker,48,45
Франция,Никитин Константин Владимирович,Динамо,defender,48,13
Россия,Петров Вячеслав Эльдарович,Бавария,halfdefender,24,0
Нидерланды,Соколов Анатолий Евгеньевич,ПСЖ,attacker,128,64
Италия,Семёнов Артём Арсеньевич,Локомотив,defender,100,19
Франция,Никитин Вадим Арсеньевич,Спартак,halfdefender,106,25
Россия,Егоров Вячеслав Вадимович,ЦСКА,defender,84,40
Англия,Семёнов Даниил Аркадьевич,Ювентус,defender,62,12
Италия,Григорьев Олег Валентинович,Бавария,halfdefender,69,9
Португалия,Медведев Егор Григорьевич,Локомотив,goalkeeper,53,-30
Нидерланды,Степанов Станислав Маркович,Манчестер Сити,halfdefender,123,56
Англия,Гордеев Пётр Антонович,Ювентус,defender,111,66
Франция,Савельев Максим Сергеевич,Ювентус,attacker,163,19
Испания,Касаткин Тимофей Викторович,Ливерпуль,attacker,179,11
Франция,Егоров Никита Маркович,Ювентус,attacker,132,7
Аргентина,Борисов Глеб Маркович,Барселона,defender,87,58
Германия,Макаров Илья Русланович,Спартак,attacker,91,42
Бразилия,Калинин Роман Вячеславович,Арсенал,attacker,83,39
Аргентина,Калинин Анатолий Григорьевич,ЦСКА,defender,111,30
Англия,Марков Иван Русланович,Манчестер Сити,goalkeeper,46,-19
Германия,Гусев Георгий Тимофеевич,Локомотив,defender,176,82
Франция,Морозов Сергей Радмирович,Динамо,attacker,99,67
Испания,Калинин Вадим Данилович,Арсенал,halfdefender,34,6
Англия,Беляев Валерий Игоревич,Ливерпуль,attacker,24,4
Россия,Барсуков Руслан Никитич,Барселона,halfdefender,161,58
Испания,Гордеев Дмитрий Григорьевич,Зенит,halfdefender,124,61
Испания,Попов Вячеслав Кириллович,Манчестер Сити,halfdefender,114,89
Аргентина,Попов Сергей Дмитриевич,ЦСКА,attacker,91,0
Россия,Петров Виктор Витальевич,Спартак,attacker,82,23
Португалия,Медведев Кирилл Владимирович,Спартак,defender,15,0
Испания,Рябов Ярослав Анатольевич,Локомотив,halfdefender,62,2
Испания,Тарасов Тимофей Геннадьевич,Спартак,defender,18,16
Италия,Фомин Владимир Маркович,Барселона,halfdefender,43,40
Нидерланды,Тарасов Олег Леонидович,Барселона,attacker,180,52
Португалия,Медведев Денис Эдуардович,Ювентус,halfdefender,113,55
Россия,Сидоров Анатолий Васильевич,ПСЖ,attacker,39,28
Испания,Соколов Максим Семёнович,Спартак,halfdefender,118,13
Италия,Лебедев Денис Ярославович,Арсенал,halfdefender,134,50
Россия,Попов Иван Александрович,Локомотив,defender,26,12
Англия,Соловьёв Даниил Степанович,Ювентус,goalkeeper,29,-27
Испания,Барсуков Вадим Германович,Локомотив,halfdefender,26,17
Англия,Макаров Павел Станиславович,Зенит,defender,148,41
Бразилия,Титов Артём Андреевич,ПСЖ,goalkeeper,22,0
Россия,Петров Виктор Константинович,Барселона,defender,137,38
Италия,Степанов Глеб Ярославович,Зенит,defender,164,50
Португалия,Соколов Арсений Дмитриевич,Спартак,defender,55,34
Португалия,Андреев Георгий Васильевич,Ювентус,halfdefender,28,15
Испания,Лебедев Григорий Фёдорович,Бавария,defender,122,22
Италия,Николаев Владимир Григорьевич,Динамо,halfdefender,104,13
Испания,Фомин Степан Ярославович,Ливерпуль,attacker,130,65
Англия,Рябов Ярослав Равильевич,Бавария,halfdefender,169,49
Россия,Козлов Андрей Юрьевич,Зенит,halfdefender,3,1
Португалия,Савельев Георгий Константинович,Ювентус,halfdefender,39,33
Бразилия,Барсуков Владимир Данилович,Ювентус,goalkeeper,162,-63
Нидерланды,Филиппов Матвей Андреевич,Арсенал,halfdefender,144,64
Италия,Фролов Олег Геннадьевич,Арсенал,attacker,30,14
Германия,Павлов Сергей Васильевич,Манчестер Сити,defender,174,11
Нидерланды,Попов Константин Данилович,Бавария,attacker,11,2
Англия,Гордеев Антон Ярославович,Арсенал,halfdefender,34,33
Испания,Гордеев Кирилл Станиславович,Реал Мадрид,halfdefender,172,46
Аргентина,Михайлов Денис Ильич,Ювентус,goalkeeper,28,-4
Италия,Медведев Тихон Петрович,Реал Мадрид,defender,101,19
Нидерланды,Николаев Анатолий Алексеевич,Ливерпуль,attacker,144,44
Германия,Попов Вячеслав Эдуардович,Локомотив,attacker,165,43
Аргентина,Шестаков Павел Михайлович,Арсенал,halfdefender,97,42
Германия,Сергеев Константин Дмитриевич,Локомотив,defender,141,75
Франция,Марков Кирилл Григорьевич,Манчестер Сити,defender,58,31
Португалия,Соколов Константин Анатольевич,Спартак,attacker,178,41
Россия,Иванов Константин Павлович,Динамо,attacker,54,18
Россия,Григорьев Ярослав Радмирович,Арсенал,halfdefender,14,0
Испания,Кондратьев Пётр Кириллович,Локомотив,halfdefender,14,14
Португалия,Блинов Глеб Германович,Спартак,attacker,63,15
Россия,Фомин Денис Романович,Бавария,goalkeeper,58,-20
Бразилия,Макаров Кирилл Кириллович,ПСЖ,halfdefender,90,84
Италия,Зайцев Руслан Олегович,Локомотив,attacker,90,78
Испания,Алексеев Илья Иванович,Ливерпуль,attacker,156,6
Италия,Воробьёв Кирилл Евгеньевич,Локомотив,defender,41,38
Германия,Барсуков Владимир Игоревич,Зенит,halfdefender,167,2
Португалия,Куликов Александр Борисович,ЦСКА,halfdefender,45,29
Аргентина,Иванов Павел Николаевич,Ливерпуль,halfdefender,11,6
Аргентина,Егоров Константин Фёдорович,Динамо,defender,84,29
Англия,Никитин Илья Дмитриевич,Ювентус,halfdefender,135,77
Италия,Лазарев Тихон Константинович,Реал Мадрид,halfdefender,95,68
Англия,Данилов Максим Николаевич,Ювентус,attacker,144,20
Бразилия,Данилов Никита Михайлович,Зенит,goalkeeper,77,-14
Россия,Воробьёв Егор Валентинович,Барселона,attacker,101,58
Нидерланды,Семёнов Станислав Геннадьевич,Бавария,halfdefender,23,5
Испания,Тарасов Денис Данилович,Спартак,defender,79,33
Англия,Кузнецов Михаил Александрович,Зенит,halfdefender,8,5
Италия,Лебедев Сергей Павлович,Арсенал,goalkeeper,176,-149
Россия,Касаткин Максим Борисович,Манчестер Сити,attacker,105,26
Франция,Волков Валерий Геннадьевич,Реал Мадрид,attacker,156,58
Португалия,Петров Фёдор Германович,Зенит,defender,126,89
Португалия,Гаврилов Григорий Ильич,Ювентус,defender,101,48
Россия,Соколов Григорий Арсеньевич,Динамо,attacker,67,54
Россия,Захаров Вадим Радмирович,Бавария,defender,50,12
Испания,Кудрявцев Пётр Юрьевич,Ювентус,defender,170,85
Нидерланды,Петров Тимофей Антонович,Ливерпуль,defender,53,11
Испания,Иванов Тихон Фёдорович,Барселона,attacker,12,9
Португалия,Соколов Константин Андреевич,Манчестер Сити,defender,58,19
Россия,Фомин Иван Семёнович,Динамо,defender,92,29
Италия,Иванов Глеб Максимович,Манчестер Сити,attacker,118,5
Испания,Алексеев Степан Денисович,Зенит,defender,149,85
Англия,Козлов Георгий Арсеньевич,Ювентус,defender,4,4
Англия,Кузнецов Лев Эдуардович,Барселона,halfdefender,77,77
Германия,Кудрявцев Вадим Борисович,Локомотив,attacker,92,61
Нидерланды,Михайлов Денис Константинович,Зенит,halfdefender,2,2
Италия,Соловьёв Арсений Григорьевич,ПСЖ,attacker,90,49
Россия,Гусев Арсений Олегович,ПСЖ,halfdefender,167,2
Нидерланды,Романов Виктор Семёнович,Зенит,goalkeeper,44,-19
Англия,Николаев Кирилл Степанович,Локомотив,defender,130,44
Нидерланды,Романов Виктор Игоревич,Ливерпуль,goalkeeper,7,-2
Германия,Лазарев Владимир Радмирович,Ливерпуль,attacker,175,21
Россия,Беляев Валерий Аркадьевич,Зенит,goalkeeper,36,-23
Испания,Медведев Илья Радмирович,Динамо,halfdefender,132,23
Россия,Гордеев Павел Андреевич,Ювентус,halfdefender,145,25
