country,fullName,clubName,position,counterGames,counterGoals
Англия,Кудрявцев Георгий Викторович,Реал Мадрид,defender,136,38
Бразилия,Романов Тимофей Витальевич,ЦСКА,defender,168,13
Англия,Алексеев Максим Антонович,ПСЖ,attacker,39,30
Бразилия,Михайлов Александр Тарасович,Спартак,defender,172,20
Англия,Васильев Фёдор Георгиевич,Динамо,attacker,178,43
Италия,Медведев Иван Евгеньевич,Манчестер Сити,goalkeeper,146,-72
Бразилия,Петров Антон Арсеньевич,ЦСКА,defender,155,35
Италия,Соколов Михаил Владимирович,Ювентус,defender,127,89
Германия,Кудрявцев Вадим Борисович,Реал Мадрид,halfdefender,169,40
Россия,Иванов Анатолий Степанович,Ливерпуль,defender,107,40
Бразилия,Рябов Антон Викторович,Бавария,defender,66,19
Аргентина,Медведев Пётр Валерьевич,Ювентус,attacker,57,53
Франция,Блинов Вадим Олегович,ЦСКА,defender,167,74
Англия,Соловьёв Артём Леонидович,ПСЖ,attacker,100,73
Англия,Петров Артём Степанович,Динамо,goalkeeper,24,0
Португалия,Борисов Георгий Эльдарович,Реал Мадрид,attacker,165,76
Аргентина,Григорьев Никита Витальевич,Спартак,attacker,149,11
Испания,Андреев Даниил Игоревич,Манчестер Сити,halfdefender,50,15
Англия,Фролов Владимир Игоревич,Барселона,goalkeeper,157,-5
Бразилия,Филиппов Михаил Сергеевич,Спартак,halfdefender,118,40
Россия,Жуков Анатолий Арсеньевич,Спартак,defender,33,13
Германия,Беляев Вадим Рустамович,Локомотив,defender,49,8
Россия,Гордеев Георгий Александрович,Спартак,halfdefender,22,12
Италия,Гордеев Кирилл Арсеньевич,Манчестер Сити,halfdefender,31,8
Бразилия,Данилов Олег Леонидович,ПСЖ,attacker,116,73
Бразилия,Волков Иван Александрович,Манчестер Сити,defender,74,61
Аргентина,Волков Даниил Васильевич,Барселона,defender,79,15
Бразилия,Андреев Вячеслав Фёдорович,Спартак,defender,103,4
Нидерланды,Барсуков Егор Михайлович,ЦСКА,defender,170,43
Англия,Борисов Егор Романович,Локомотив,halfdefender,10,0
Аргентина,Петров Дмитрий Андреевич,Реал Мадрид,attacker,13,3
Германия,Романов Никита Радмирович,Локомотив,defender,10,7
Испания,Филиппов Тимофей Ильич,Спартак,halfdefender,19,17
Италия,Егоров Матвей Вячеславович,Реал Мадрид,halfdefender,147,71
Португалия,Гаврилов Олег Евгеньевич,Барселона,defender,138,69
Португалия,Воробьёв Кирилл Германович,Локомотив,attacker,42,31
Франция,Степанов Вадим Эдуардович,Арсенал,halfdefender,175,86
Испания,Соловьёв Валерий Германович,Локомотив,attacker,144,61
Италия,Степанов Григорий Георгиевич,Бавария,goalkeeper,103,-14
Россия,Морозов Глеб Эдуардович,Барселона,attacker,90,52
Португалия,Марков Константин Равильевич,Манчестер Сити,halfdefender,45,34
Испания,Васильев Олег Ильич,Арсенал,goalkeeper,139,0
Англия,Зайцев Никита Григорьевич,ЦСКА,defender,78,37
Германия,Сидоров Григорий Вячеславович,Реал Мадрид,defender,17,13
Англия,Кондратьев Григорий Эльдарович,Манчестер Сити,goalkeeper,87,-69
Нидерланды,Фёдоров Вячеслав Андреевич,Динамо,halfdefender,88,47
Аргентина,Марков Ярослав Аркадьевич,Барселона,attacker,171,29
Россия,Алексеев Максим Иванович,Бавария,attacker,76,28
Италия,Филиппов Антон Аркадьевич,Барселона,goalkeeper,127,-7
Германия,Петров Антон Арсеньевич,ЦСКА,halfdefender,25,18
Нидерланды,Павлов Дмитрий Анатольевич,Локомотив,halfdefender,25,15
Аргентина,Фролов Илья Денисович,ПСЖ,defender,117,66
Аргентина,Васильев Егор Борисович,Арсенал,defender,156,59
