country,fullName,clubName,position,counterGames,counterGoals
Испания,Михайлов Илья Степанович,Зенит,halfdefender,62,14
Англия,Попов Роман Владимирович,Спартак,halfdefender,8,0
Англия,Антонов Вячеслав Ильич,Ювентус,goalkeeper,50,-45
Франция,Кондратьев Вадим Дмитриевич,Бавария,halfdefender,1,0
Италия,Попов Константин Арсеньевич,ЦСКА,defender,86,13
Португалия,Яковлев Вячеслав Борисович,Реал Мадрид,halfdefender,11,11
Бразилия,Марков Антон Олегович,Спартак,halfdefender,160,79
Франция,Рябов Павел Аркадьевич,Арсенал,goalkeeper,169,-58
Франция,Калинин Антон Валерьевич,Спартак,defender,116,81
Португалия,Савельев Никита Никитич,Реал Мадрид,defender,68,9
Франция,Данилов Владимир Радмирович,ЦСКА,halfdefender,69,28
Россия,Павлов Дмитрий Витальевич,Локомотив,attacker,80,51
Нидерланды,Захаров Тихон Валентинович,Арсенал,defender,167,63
Италия,Егоров Анатолий Кириллович,ЦСКА,defender,143,68
Нидерланды,Романов Кирилл Ярославович,Барселона,defender,35,32
Россия,Савельев Дмитрий Иванович,Спартак,defender,40,27
Бразилия,Барсуков Артём Степанович,Ювентус,attacker,135,32
Испания,Соколов Павел Кириллович,Манчестер Сити,attacker,68,43
Германия,Лазарев Матвей Матвеевич,Бавария,goalkeeper,67,-64
Испания,Савельев Андрей Валентинович,Манчестер Сити,defender,163,64
Португалия,Савельев Владимир Маркович,Ливерпуль,defender,135,0
Россия,Смирнов Фёдор Олегович,Спартак,attacker,78,30
Испания,Рябов Иван Вадимович,Спартак,halfdefender,17,17
Аргентина,Соловьёв Роман Никитич,ПСЖ,defender,135,77
Франция,Макаров Степан Михайлович,Арсенал,defender,171,83
Аргентина,Петров Анатолий Николаевич,Спартак,defender,16,10
Франция,Лебедев Дмитрий Анатольевич,Ювентус,defender,18,1
Португалия,Алексеев Вячеслав Вадимович,Спартак,halfdefender,71,62
Нидерланды,Волков Илья Арсеньевич,Ювентус,halfdefender,121,52
Бразилия,Данилов Илья Андреевич,Реал Мадрид,defender,119,6
Бразилия,Волков Андрей Никитич,Арсенал,defender,27,7
Аргентина,Семёнов Дмитрий Константинович,ЦСКА,defender,71,59
Англия,Попов Фёдор Валерьевич,Спартак,goalkeeper,138,-3
Бразилия,Фёдоров Константин Александрович,Бавария,halfdefender,102,7
Бразилия,Соловьёв Станислав Станиславович,Динамо,attacker,116,36
Аргентина,Гусев Вячеслав Андреевич,ЦСКА,defender,55,3
Португалия,Шестаков Валерий Валерьевич,Зенит,goalkeeper,122,-64
Россия,Савельев Дмитрий Степанович,ПСЖ,goalkeeper,47,-4
Франция,Гусев Григорий Анатольевич,Барселона,goalkeeper,145,-63
Нидерланды,Сергеев Владимир Геннадьевич,Спартак,defender,149,72
Франция,Захаров Иван Станиславович,Манчестер Сити,halfdefender,61,16
Италия,Яковлев Юрий Олегович,Бавария,defender,18,0
Испания,Михайлов Виктор Антонович,Спартак,halfdefender,129,33
Франция,Фомин Лев Романович,Реал Мадрид,defender,112,69
Англия,Жуков Илья Вадимович,Зенит,halfdefender,141,38
Италия,Павлов Павел Петрович,Спартак,attacker,141,19
Франция,Мельников Сергей Матвеевич,Арсенал,defender,175,81
Аргентина,Медведев Вадим Радмирович,Динамо,attacker,13,1
Италия,Фёдоров Степан Николаевич,Зенит,goalkeeper,33,-16
Бразилия,Куликов Даниил Радмирович,ПСЖ,goalkeeper,19,-4
Португалия,Сидоров Лев Егорович,Ювентус,halfdefender,110,16
Россия,Андреев Станислав Эльдарович,Реал Мадрид,defender,63,13
Бразилия,Фёдоров Матвей Ильич,Ювентус,halfdefender,60,55
Россия,Блинов Фёдор Георгиевич,ЦСКА,halfdefender,85,52
Германия,Мельников Руслан Владимирович,Ливерпуль,halfdefender,97,4
Франция,Петров Андрей Игоревич,Бавария,defender,58,14
Португалия,Антонов Георгий Игоревич,Динамо,attacker,71,44
Англия,Егоров Матвей Павлович,Реал Мадрид,attacker,29,28
Италия,Гаврилов Владимир Кириллович,Зенит,goalkeeper,111,-44
Нидерланды,Егоров Даниил Тимофеевич,ПСЖ,goalkeeper,147,-48
Бразилия,Гаврилов Андрей Егорович,Зенит,halfdefender,137,87
Бразилия,Николаев Михаил Фёдорович,Спартак,attacker,84,79
Италия,Захаров Павел Николаевич,ПСЖ,defender,104,41
Германия,Фролов Матвей Романович,Локомотив,defender,97,86
Нидерланды,Козлов Роман Кириллович,Динамо,defender,0,0
