country,fullName,clubName,position,counterGames,counterGoals
Португалия,Орлов Сергей Матвеевич,Спартак,defender,116,73
Бразилия,Петров Илья Александрович,Барселона,halfdefender,107,84
Италия,Шестаков Владимир Олегович,Ливерпуль,halfdefender,139,1
Бразилия,Борисов Фёдор Анатольевич,Локомотив,defender,131,45
Англия,Орлов Станислав Олегович,Реал Мадрид,halfdefender,90,76
Франция,Орлов Илья Егорович,Локомотив,attacker,9,2
Нидерланды,Антонов Тимофей Тарасович,Барселона,halfdefender,64,12
Португалия,Зайцев Григорий Евгеньевич,Локомотив,halfdefender,28,24
Италия,Андреев Вячеслав Олегович,Ливерпуль,attacker,142,33
Россия,Гаврилов Валерий Германович,Бавария,defender,101,33
Франция,Романов Сергей Петрович,Ювентус,goalkeeper,53,-24
Англия,Медведев Кирилл Антонович,ЦСКА,halfdefender,43,35
Италия,Кудрявцев Вадим Егорович,ПСЖ,attacker,139,60
Россия,Сергеев Руслан Тимофеевич,Ювентус,defender,164,77
Португалия,Соловьёв Матвей Васильевич,Зенит,halfdefender,54,22
Аргентина,Сергеев Ярослав Арсеньевич,Локомотив,defender,34,22
Италия,Кузнецов Антон Алексеевич,Бавария,goalkeeper,31,-26
Италия,Волков Денис Михайлович,Зенит,defender,130,62
Аргентина,Морозов Егор Никитич,Ювентус,halfdefender,177,9
Португалия,Фомин Александр Иванович,Манчестер Сити,attacker,159,30
Испания,Степанов Фёдор Романович,Зенит,goalkeeper,13,-8
Англия,Беляев Денис Дмитриевич,ЦСКА,halfdefender,69,10
Англия,Андреев Лев Олегович,Зенит,attacker,105,53
Аргентина,Касаткин Тихон Сергеевич,Ювентус,defender,130,14
Аргентина,Лазарев Дмитрий Русланович,Зенит,defender,144,66
Италия,Лазарев Фёдор Евгеньевич,Ливерпуль,halfdefender,128,14
Португалия,Тарасов Тихон Леонидович,ЦСКА,halfdefender,150,12
Италия,Шестаков Максим Николаевич,Манчестер Сити,halfdefender,177,88
Франция,Никитин Дмитрий Фёдорович,Манчестер Сити,defender,67,61
Испания,Куликов Антон Павлович,ПСЖ,halfdefender,153,61
Италия,Медведев Кирилл Арсеньевич,Барселона,attacker,52,46
Англия,Калинин Антон Равильевич,Ливерпуль,defender,85,68
Испания,Смирнов Виктор Павлович,Спартак,attacker,109,46
Россия,Алексеев Павел Витальевич,Барселона,halfdefender,68,32
Аргентина,Жуков Степан Денисович,Манчестер Сити,attacker,76,56
Россия,Соловьёв Тихон Михайлович,ЦСКА,halfdefender,0,0
Аргентина,Васильев Лев Борисович,Ювентус,attacker,65,37
Германия,Воробьёв Пётр Матвеевич,Барселона,defender,109,30
Италия,Филиппов Константин Равильевич,Реал Мадрид,halfdefender,155,86
Нидерланды,Шестаков Тихон Романович,Ювентус,halfdefender,176,79
Англия,Морозов Юрий Васильевич,ЦСКА,halfdefender,96,5
Нидерланды,Яковлев Матвей Петрович,Спартак,halfdefender,15,7
Бразилия,Никитин Артём Иванович,Зенит,halfdefender,18,17
Аргентина,Воробьёв Ярослав Арсеньевич,Арсенал,halfdefender,95,15
Испания,Мельников Юрий Васильевич,Ливерпуль,defender,140,13
Аргентина,Сергеев Георгий Денисович,Бавария,defender,23,12
Бразилия,Мельников Дмитрий Вадимович,Арсенал,attacker,80,50
Аргентина,Романов Кирилл Евгеньевич,Реал Мадрид,halfdefender,26,8
Россия,Лебедев Валерий Сергеевич,Барселона,halfdefender,20,19
Франция,Савельев Михаил Николаевич,ПСЖ,defender,78,64
Россия,Семёнов Ярослав Романович,Динамо,halfdefender,124,89
Аргентина,Семёнов Станислав Егорович,Зенит,halfdefender,102,77
Испания,Семёнов Матвей Аркадьевич,Реал Мадрид,goalkeeper,151,-27
Германия,Попов Иван Павлович,ПСЖ,defender,42,4
Бразилия,Барсуков Тимофей Степанович,Реал Мадрид,defender,106,37
Португалия,Сидоров Андрей Германович,Ливерпуль,goalkeeper,80,-13
Англия,Рябов Вадим Матвеевич,ЦСКА,attacker,23,10
Англия,Блинов Валерий Михайлович,Ювентус,halfdefender,174,45
Бразилия,Гаврилов Денис Алексеевич,Манчестер Сити,defender,173,52
Франция,Борисов Анатолий Борисович,Реал Мадрид,goalkeeper,109,-12
Испания,Кудрявцев Матвей Эдуардович,Реал Мадрид,defender,15,10
Бразилия,Кондратьев Валерий Борисович,Бавария,halfdefender,132,60
Франция,Николаев Егор Степанович,Локомотив,halfdefender,138,63
Германия,Калинин Григорий Данилович,Ливерпуль,defender,12,11
Россия,Егоров Виктор Викторович,Манчестер Сити,halfdefender,171,0
Англия,Волков Степан Романович,Локомотив,defender,94,17
Россия,Тарасов Лев Ильич,Ливерпуль,halfdefender,77,77
Испания,Егоров Даниил Фёдорович,Барселона,attacker,88,63
Нидерланды,Павлов Ярослав Андреевич,Арсенал,halfdefender,125,29
Россия,Сергеев Кирилл Евгеньевич,Барселона,defender,106,46
Нидерланды,Григорьев Глеб Антонович,Манчестер Сити,defender,17,2
Германия,Кудрявцев Андрей Григорьевич,Локомотив,defender,108,60
Россия,Куликов Роман Никитич,Спартак,halfdefender,3,2
Португалия,Захаров Даниил Степанович,Бавария,attacker,54,21
Нидерланды,Касаткин Артём Арсеньевич,Барселона,defender,137,44
Россия,Гордеев Валерий Эльдарович,Динамо,attacker,155,27
Нидерланды,Никитин Тихон Викторович,Зенит,goalkeeper,141,-12
Испания,Воробьёв Виктор Анатольевич,Динамо,attacker,162,50
Испания,Титов Степан Леонидович,Динамо,halfdefender,79,6
Бразилия,Мельников Арсений Егорович,Арсенал,halfdefender,23,8
Испания,Петров Максим Олегович,Арсенал,defender,45,18
Нидерланды,Барсуков Тимофей Аркадьевич,Ливерпуль,attacker,48,8
Россия,Гаврилов Иван Валентинович,Барселона,defender,108,74
Бразилия,Медведев Егор Антонович,ПСЖ,halfdefender,117,33
Россия,Кузнецов Максим Вадимович,Ювентус,defender,150,16
Испания,Беляев Григорий Ильич,ПСЖ,attacker,156,37
Англия,Филиппов Максим Валерьевич,Арсенал,attacker,156,74
Нидерланды,Жуков Тимофей Равильевич,ПСЖ,halfdefender,162,18
Испания,Касаткин Денис Леонидович,ЦСКА,attacker,72,61
Нидерланды,Морозов Артём Кириллович,Динамо,defender,115,77
Аргентина,Барсуков Лев Германович,Бавария,halfdefender,87,47
Италия,Титов Валерий Георгиевич,Барселона,attacker,96,4
Германия,Гусев Даниил Егорович,Бавария,defender,168,13
Португалия,Егоров Виктор Валерьевич,Манчестер Сити,halfdefender,37,0
Нидерланды,Фомин Владимир Валентинович,Зенит,attacker,105,61
Италия,Алексеев Матвей Романович,Динамо,defender,168,14
Франция,Кондратьев Валерий Дмитриевич,Динамо,halfdefender,62,29
Германия,Беляев Тимофей Никитич,ПСЖ,defender,37,11
Нидерланды,Кудрявцев Вячеслав Витальевич,Ливерпуль,halfdefender,82,81
Франция,Романов Григорий Фёдорович,Зенит,defender,97,22
Германия,Григорьев Владимир Николаевич,Локомотив,defender,171,6
Англия,Фролов Анатолий Станиславович,Спартак,defender,35,32
Франция,Барсуков Виктор Борисович,Динамо,halfdefender,28,8
Бразилия,Егоров Григорий Степанович,Реал Мадрид,halfdefender,57,18
Португалия,Козлов Степан Рустамович,Ювентус,goalkeeper,158,-53
Португалия,Марков Сергей Дмитриевич,Ливерпуль,goalkeeper,151,-46
Италия,Титов Роман Викторович,Спартак,defender,9,4
Аргентина,Антонов Анатолий Валентинович,Бавария,goalkeeper,166,-5
Испания,Зайцев Андрей Аркадьевич,Барселона,defender,56,54
Франция,Барсуков Кирилл Николаевич,Манчестер Сити,halfdefender,170,28
Бразилия,Кондратьев Владимир Леонидович,Динамо,defender,30,2
Франция,Тарасов Олег Ярославович,Ливерпуль,goalkeeper,22,-17
Нидерланды,Николаев Лев Русланович,Арсенал,attacker,56,3
Бразилия,Егоров Тихон Матвеевич,Динамо,attacker,15,2
Франция,Соловьёв Валерий Вячеславович,ПСЖ,halfdefender,72,40
Нидерланды,Беляев Роман Эльдарович,Манчестер Сити,attacker,164,42
Нидерланды,Кондратьев Григорий Равильевич,ЦСКА,defender,10,0
Англия,Касаткин Андрей Дмитриевич,Ювентус,defender,155,37
Нидерланды,Воробьёв Матвей Юрьевич,Ювентус,halfdefender,143,43
Португалия,Кузнецов Даниил Игоревич,Реал Мадрид,defender,169,63
Аргентина,Кудрявцев Денис Германович,Арсенал,halfdefender,159,12
Италия,Гордеев Вадим Антонович,Реал Мадрид,defender,55,52
Италия,Фёдоров Фёдор Васильевич,Ювентус,defender,117,37
Португалия,Кондратьев Пётр Максимович,Локомотив,attacker,9,3
Россия,Барсуков Арсений Ярославович,Реал Мадрид,goalkeeper,72,-35
Англия,Шестаков Кирилл Фёдорович,Локомотив,halfdefender,13,13
Германия,Семёнов Даниил Игоревич,Арсенал,attacker,113,23
Аргентина,Куликов Степан Никитич,ПСЖ,halfdefender,142,3
Аргентина,Павлов Владимир Викторович,Ювентус,defender,40,15
Англия,Яковлев Сергей Дмитриевич,Манчестер Сити,attacker,130,35
