country,fullName,clubName,position,counterGames,counterGoals
Испания,Лазарев Станислав Матвеевич,Реал Мадрид,defender,28,10
Россия,Яковлев Даниил Семёнович,Манчестер Сити,goalkeeper,70,-19
Англия,Беляев Антон Игоревич,ПСЖ,defender,154,36
Россия,Гаврилов Константин Денисович,Локомотив,halfdefender,24,13
Португалия,Смирнов Арсений Тарасович,Динамо,halfdefender,157,79
Англия,Куликов Григорий Никитич,Ювентус,defender,16,8
Португалия,Егоров Анатолий Кириллович,ЦСКА,halfdefender,56,20
Нидерланды,Павлов Станислав Алексеевич,Бавария,halfdefender,127,48
Англия,Кузнецов Александр Тарасович,ЦСКА,goalkeeper,21,-9
Португалия,Калинин Дмитрий Максимович,Арсенал,halfdefender,111,41
Франция,Егоров Степан Дмитриевич,Ливерпуль,defender,123,20
Испания,Антонов Кирилл Степанович,Спартак,halfdefender,126,58
Нидерланды,Зайцев Олег Михайлович,Спартак,halfdefender,59,15
Нидерланды,Марков Илья Романович,Зенит,halfdefender,95,46
Испания,Попов Сергей Рустамович,ЦСКА,halfdefender,152,54
Португалия,Яковлев Михаил Рустамович,Арсенал,halfdefender,132,17
Нидерланды,Фролов Константин Романович,Бавария,attacker,146,16
Россия,Беляев Владимир Кириллович,Динамо,halfdefender,87,76
Англия,Лебедев Даниил Денисович,ПСЖ,attacker,60,0
Испания,Зайцев Валерий Геннадьевич,Бавария,halfdefender,143,3
Испания,Гусев Егор Геннадьевич,Бавария,defender,7,7
Бразилия,Лазарев Никита Равильевич,ЦСКА,defender,149,28
Франция,Сидоров Михаил Кириллович,Ювентус,attacker,91,27
Россия,Соловьёв Андрей Матвеевич,Арсенал,defender,22,16
Италия,Касаткин Павел Денисович,Динамо,defender,112,82
Россия,Антонов Олег Владимирович,Динамо,halfdefender,51,8
Испания,Титов Арсений Рустамович,Зенит,goalkeeper,86,-12
Франция,Сергеев Глеб Аркадьевич,Зенит,attacker,58,22
Германия,Лебедев Дмитрий Арсеньевич,Манчестер Сити,defender,142,13
Испания,Орлов Денис Леонидович,Бавария,goalkeeper,62,-15
Португалия,Смирнов Матвей Маркович,Реал Мадрид,halfdefender,79,71
Италия,Семёнов Арсений Сергеевич,Бавария,goalkeeper,16,-14
Германия,Рябов Георгий Александрович,Зенит,halfdefender,160,4
Италия,Гусев Матвей Васильевич,Арсенал,attacker,97,15
Португалия,Романов Даниил Русланович,Локомотив,attacker,95,42
Италия,Сидоров Андрей Романович,Локомотив,halfdefender,101,38
Аргентина,Касаткин Лев Маркович,Ювентус,attacker,123,21
Аргентина,Волков Константин Ильич,Спартак,halfdefender,142,6
Испания,Новиков Максим Никитич,Ливерпуль,goalkeeper,159,-46
Россия,Смирнов Роман Степанович,ЦСКА,goalkeeper,85,-66
Нидерланды,Попов Глеб Тимофеевич,ПСЖ,halfdefender,8,7
Англия,Медведев Вадим Максимович,ЦСКА,halfdefender,11,7
Англия,Куликов Тимофей Владимирович,ПСЖ,defender,64,31
Италия,Захаров Пётр Владимирович,Спартак,defender,177,76
Россия,Гаврилов Валерий Егорович,Арсенал,halfdefender,136,1
Франция,Фролов Лев Васильевич,Зенит,defender,84,48
Испания,Кондратьев Денис Юрьевич,Реал Мадрид,halfdefender,96,75
Аргентина,Мельников Павел Витальевич,ЦСКА,halfdefender,130,29
Франция,Петров Станислав Геннадьевич,Локомотив,halfdefender,40,35
Италия,Мельников Иван Денисович,Ливерпуль,goalkeeper,73,-72
Португалия,Кузнецов Павел Юрьевич,Локомотив,defender,130,45
Бразилия,Фролов Степан Владимирович,ПСЖ,defender,96,52
Нидерланды,Борисов Станислав Алексеевич,Реал Мадрид,halfdefender,73,41
Англия,Блинов Анатолий Ярославович,Ювентус,halfdefender,115,38
Италия,Зайцев Дмитрий Радмирович,Локомотив,halfdefender,86,11
Португалия,Зайцев Руслан Анатольевич,Реал Мадрид,defender,135,19
Испания,Данилов Сергей Егорович,Барселона,halfdefender,94,8
Аргентина,Николаев Сергей Георгиевич,Бавария,goalkeeper,138,-137
Россия,Барсуков Руслан Радмирович,Арсенал,attacker,157,42
Франция,Соловьёв Арсений Евгеньевич,Барселона,attacker,110,26
Германия,Кудрявцев Иван Равильевич,Ливерпуль,defender,5,0
Германия,Соколов Григорий Анатольевич,Динамо,defender,103,5
Нидерланды,Блинов Олег Денисович,Ювентус,halfdefender,133,22
Аргентина,Романов Тимофей Радмирович,ЦСКА,defender,95,60
Бразилия,Фролов Станислав Тимофеевич,Зенит,goalkeeper,141,-33
Англия,Титов Павел Денисович,Зенит,attacker,45,12
Германия,Сергеев Иван Олегович,ЦСКА,defender,172,13
Германия,Рябов Александр Юрьевич,Спартак,defender,159,11
